N,P,K,temperature,humidity,ph,rainfall,target
0.592857143,0.257142857,0.19,0.350844319,0.798148548,0.427547659,0.764854297,20
0.7,0.3,0.16,0.420608755,0.782449945,0.601948185,0.732343061,20
0.471428571,0.342857143,0.18,0.466285377,0.773015472,0.664687076,0.850704499,20
0.692857143,0.385714286,0.19,0.503118745,0.814079248,0.432597428,0.902275494,20
0.692857143,0.321428571,0.18,0.450606426,0.773261544,0.55459098,0.862414683,20
0.428571429,0.314285714,0.195,0.342902411,0.819371919,0.426118969,0.789907331,20
0.6,0.328571429,0.15,0.386684929,0.774418502,0.394777447,0.638651297,20
0.521428571,0.371428571,0.18,0.36215009,0.824574855,0.360783003,0.905304451,20
0.657142857,0.214285714,0.175,0.383176865,0.770768497,0.443621605,0.646228685,20
0.607142857,0.228571429,0.17,0.450566558,0.798830511,0.444670633,0.734561884,20
0.7,0.342857143,0.165,0.32830591,0.786023064,0.234786236,0.898981476,20
0.628571429,0.35,0.195,0.485217868,0.812196766,0.411278245,0.764942516,20
0.678571429,0.357142857,0.185,0.515631512,0.791962312,0.380370065,0.622011304,20
0.707142857,0.371428571,0.15,0.514546928,0.78063819,0.381880018,0.905657193,20
0.678571429,0.242857143,0.155,0.431498087,0.803679248,0.319834851,0.952179601,20
0.428571429,0.271428571,0.195,0.349894858,0.801342783,0.608287238,0.999431396,20
0.45,0.278571429,0.18,0.440384323,0.810401408,0.323251685,0.850813962,20
0.442857143,0.264285714,0.155,0.40045154,0.791018631,0.454915078,0.820937666,20
0.457142857,0.285714286,0.19,0.482186913,0.808064436,0.315710576,0.681479123,20
0.592857143,0.392857143,0.155,0.481247118,0.768596644,0.528624382,0.648911,20
0.585714286,0.25,0.175,0.430561792,0.82305651,0.430261418,1,20
0.607142857,0.335714286,0.2,0.501806927,0.794515891,0.57843506,0.881355631,20
0.65,0.214285714,0.165,0.461167614,0.773038445,0.408926362,0.587277631,20
0.542857143,0.314285714,0.185,0.462932234,0.819160656,0.264623839,0.634975619,20
0.528571429,0.242857143,0.165,0.413645206,0.820471665,0.665174789,0.764630707,20
0.564285714,0.271428571,0.17,0.368455528,0.775181894,0.553318732,0.684762812,20
0.628571429,0.357142857,0.2,0.453654412,0.771729233,0.657137344,0.838907761,20
0.428571429,0.221428571,0.19,0.41909957,0.802636286,0.277038514,0.717421924,20
0.542857143,0.392857143,0.17,0.321945422,0.770960789,0.507203124,0.676739811,20
0.664285714,0.364285714,0.185,0.431324073,0.792868041,0.603080279,0.628289154,20
0.464285714,0.392857143,0.19,0.377227769,0.78905874,0.334883956,0.744218751,20
0.678571429,0.335714286,0.155,0.499385508,0.811655445,0.317029648,0.956702731,20
0.535714286,0.235714286,0.17,0.419545753,0.822822303,0.421495297,0.947453453,20
0.528571429,0.35,0.165,0.482925326,0.807385368,0.562259779,0.708347065,20
0.65,0.221428571,0.2,0.448145235,0.795534698,0.380368047,0.890123768,20
0.507142857,0.292857143,0.175,0.328682315,0.791675983,0.580366519,0.617003829,20
0.707142857,0.357142857,0.15,0.370106852,0.769691986,0.466063418,0.926001137,20
0.514285714,0.25,0.165,0.332535322,0.792661522,0.635695672,0.808122121,20
0.592857143,0.378571429,0.2,0.485787651,0.80794601,0.368657648,0.80995992,20
0.664285714,0.378571429,0.165,0.33829558,0.810922829,0.53304316,0.931686638,20
0.5,0.221428571,0.185,0.373470929,0.775406549,0.535190739,0.654475721,20
0.542857143,0.3,0.185,0.323043913,0.805296524,0.347481356,0.874535498,20
0.707142857,0.257142857,0.155,0.448563203,0.798964667,0.502912857,0.583262206,20
0.707142857,0.35,0.16,0.353453786,0.770812325,0.325032242,0.641144473,20
0.614285714,0.385714286,0.15,0.486703568,0.791532478,0.535257063,0.802233506,20
0.492857143,0.292857143,0.18,0.425126276,0.770240132,0.234418044,0.872642595,20
0.65,0.364285714,0.16,0.41911959,0.773540262,0.444567565,0.895612282,20
0.435714286,0.335714286,0.18,0.463446331,0.812303418,0.524961315,0.663156745,20
0.478571429,0.285714286,0.165,0.398918455,0.792225958,0.590273525,0.864656844,20
0.564285714,0.264285714,0.16,0.460471058,0.800036358,0.479471871,0.989399387,20
0.557142857,0.271428571,0.185,0.358627079,0.801937569,0.58768047,0.618319372,20
0.535714286,0.35,0.155,0.501264589,0.820205401,0.547278207,0.852456272,20
0.692857143,0.221428571,0.2,0.384593783,0.788586847,0.534082496,0.926419893,20
0.478571429,0.3,0.195,0.513777404,0.787738054,0.678614725,0.934773654,20
0.521428571,0.214285714,0.165,0.460936033,0.78999301,0.233355473,0.595421448,20
0.55,0.221428571,0.16,0.51818847,0.783939456,0.40921323,0.626427551,20
0.578571429,0.257142857,0.165,0.397499531,0.810401251,0.625056957,0.649192724,20
0.485714286,0.371428571,0.19,0.495354204,0.771334582,0.342468902,0.584493462,20
0.514285714,0.285714286,0.15,0.47644726,0.801279891,0.35048762,0.629232658,20
0.435714286,0.342857143,0.19,0.50438018,0.779226856,0.442411243,0.729860823,20
0.478571429,0.271428571,0.17,0.494064123,0.824870128,0.388038164,0.598322608,20
0.478571429,0.378571429,0.17,0.472227643,0.773246873,0.303069542,0.718179376,20
0.471428571,0.392857143,0.165,0.380492396,0.807387378,0.445983372,0.759928515,20
0.585714286,0.271428571,0.165,0.414937514,0.783623081,0.248950512,0.79794041,20
0.6,0.321428571,0.195,0.478058306,0.783309505,0.377988208,0.583597411,20
0.578571429,0.342857143,0.185,0.426116402,0.778985829,0.260183931,0.766995193,20
0.65,0.321428571,0.175,0.34430872,0.815130904,0.459950799,0.7544955,20
0.664285714,0.342857143,0.165,0.51949413,0.789232899,0.554312959,0.971687545,20
0.642857143,0.278571429,0.165,0.430688624,0.812210862,0.617134248,0.793932088,20
0.578571429,0.285714286,0.15,0.507981226,0.768335131,0.412672628,0.713870703,20
0.557142857,0.25,0.165,0.506132004,0.811890719,0.629068193,0.81916768,20
0.428571429,0.328571429,0.155,0.398019383,0.799694133,0.392447346,0.850677876,20
0.628571429,0.292857143,0.185,0.397635239,0.807308048,0.482127216,0.625308509,20
0.664285714,0.3,0.16,0.364644331,0.791868449,0.465852761,0.990532607,20
0.428571429,0.357142857,0.2,0.361063086,0.805741814,0.37805057,0.960540796,20
0.557142857,0.214285714,0.195,0.508404547,0.821422597,0.554854671,0.587072654,20
0.464285714,0.228571429,0.175,0.417028847,0.808842511,0.284366105,0.604286303,20
0.507142857,0.35,0.055,0.395638355,0.576650183,0.349151469,0.24267487,11
0.435714286,0.278571429,0.06,0.495684348,0.668620679,0.532943062,0.294791866,11
0.571428571,0.271428571,0.055,0.422761062,0.668839338,0.490364929,0.167087765,11
0.521428571,0.378571429,0.08,0.319843412,0.506564934,0.480738047,0.145286921,11
0.435714286,0.235714286,0.075,0.276995357,0.565035363,0.383448889,0.162483468,11
0.485714286,0.257142857,0.055,0.37162944,0.508031004,0.412743177,0.294144926,11
0.664285714,0.257142857,0.06,0.481954942,0.609470099,0.395493083,0.30628545,11
0.635714286,0.392857143,0.07,0.469622232,0.611641436,0.374616705,0.207851152,11
0.542857143,0.278571429,0.06,0.332603075,0.56339299,0.365562422,0.161907323,11
0.478571429,0.392857143,0.1,0.461866029,0.612761124,0.349204425,0.319760475,11
0.5,0.278571429,0.07,0.415818997,0.690544387,0.365121496,0.266161907,11
0.642857143,0.314285714,0.08,0.459528725,0.631101219,0.461526405,0.193438852,11
0.442857143,0.335714286,0.055,0.385930052,0.52006678,0.538432851,0.156849717,11
0.657142857,0.278571429,0.055,0.288433059,0.600884461,0.400946462,0.267831632,11
0.471428571,0.35,0.08,0.469569509,0.535931789,0.375453524,0.186501537,11
0.45,0.378571429,0.085,0.270543126,0.47856193,0.419883864,0.156322953,11
0.5,0.3,0.06,0.453007729,0.65510606,0.481479279,0.301604793,11
0.435714286,0.257142857,0.06,0.468191438,0.594978174,0.391449059,0.202886747,11
0.471428571,0.342857143,0.07,0.409408327,0.534949208,0.393260466,0.162695265,11
0.528571429,0.357142857,0.07,0.264697582,0.567352469,0.432965666,0.23001664,11
0.55,0.371428571,0.08,0.46216836,0.694629587,0.473662708,0.213866591,11
0.707142857,0.321428571,0.05,0.267474158,0.663017617,0.321683555,0.243817317,11
0.528571429,0.364285714,0.085,0.27139159,0.611282585,0.516994091,0.218303274,11
0.592857143,0.285714286,0.08,0.287168498,0.519024608,0.343912008,0.213911508,11
0.714285714,0.307142857,0.055,0.484745236,0.617842941,0.318047041,0.195092024,11
0.564285714,0.328571429,0.055,0.473813155,0.632733232,0.479211523,0.27394593,11
0.671428571,0.242857143,0.065,0.432296973,0.504290521,0.371417594,0.29681792,11
0.535714286,0.314285714,0.05,0.364709693,0.667854153,0.375331955,0.295578823,11
0.557142857,0.307142857,0.085,0.409301254,0.569813002,0.324072877,0.180433541,11
0.621428571,0.35,0.075,0.481821707,0.574089283,0.477683396,0.318374258,11
0.621428571,0.214285714,0.1,0.362113638,0.570484447,0.415733017,0.164104304,11
0.45,0.271428571,0.07,0.278121766,0.481467505,0.487867642,0.25427367,11
0.6,0.371428571,0.1,0.393385993,0.626833064,0.464095023,0.158784176,11
0.457142857,0.214285714,0.09,0.407310835,0.555699352,0.338335027,0.153861482,11
0.428571429,0.292857143,0.085,0.461063282,0.599088306,0.485301369,0.243286585,11
0.7,0.278571429,0.08,0.486260108,0.697951432,0.469606034,0.313570271,11
0.535714286,0.364285714,0.065,0.303383005,0.561097925,0.340799039,0.146365639,11
0.614285714,0.357142857,0.08,0.364876725,0.529400034,0.513064631,0.321683639,11
0.7,0.214285714,0.065,0.429608723,0.706584071,0.427356238,0.257059098,11
0.542857143,0.371428571,0.065,0.291381667,0.703047963,0.402463043,0.266037478,11
0.707142857,0.364285714,0.06,0.438536499,0.68677611,0.424484353,0.182735998,11
0.428571429,0.278571429,0.09,0.458224282,0.650781977,0.344900589,0.203044967,11
0.528571429,0.307142857,0.06,0.367461107,0.536835798,0.455009357,0.176062389,11
0.635714286,0.392857143,0.06,0.474889499,0.501053356,0.385547416,0.292759115,11
0.492857143,0.328571429,0.09,0.384269076,0.6835507,0.512708043,0.310437957,11
0.685714286,0.292857143,0.085,0.337375227,0.638600056,0.465789503,0.165557128,11
0.435714286,0.392857143,0.05,0.460529044,0.635581023,0.429341637,0.255252713,11
0.528571429,0.378571429,0.065,0.321712077,0.491088938,0.501147958,0.319070381,11
0.528571429,0.271428571,0.09,0.491450421,0.55565388,0.438621214,0.285140551,11
0.45,0.271428571,0.06,0.300237565,0.597412231,0.513617677,0.183612266,11
0.707142857,0.221428571,0.075,0.337279926,0.595957921,0.492405422,0.20885582,11
0.55,0.221428571,0.09,0.455913441,0.495500747,0.48892808,0.245168432,11
0.621428571,0.392857143,0.09,0.328480794,0.579241213,0.456324301,0.151939738,11
0.428571429,0.235714286,0.06,0.275285655,0.583008938,0.461830157,0.201911583,11
0.671428571,0.35,0.06,0.417953603,0.553944316,0.36808257,0.31294739,11
0.678571429,0.235714286,0.085,0.316320711,0.548120136,0.34615049,0.289412574,11
0.6,0.278571429,0.08,0.374280266,0.555882842,0.364784458,0.312761937,11
0.55,0.378571429,0.07,0.401147818,0.492857663,0.355641876,0.292381348,11
0.471428571,0.278571429,0.075,0.294190124,0.638853186,0.503122568,0.217403061,11
0.45,0.214285714,0.055,0.378812162,0.596070611,0.430407398,0.228208356,11
0.564285714,0.285714286,0.075,0.429838314,0.524793826,0.343754303,0.250588188,11
0.514285714,0.392857143,0.1,0.2783209,0.638907286,0.352812289,0.243906438,11
0.478571429,0.328571429,0.095,0.421158697,0.548998072,0.323376316,0.160110763,11
0.614285714,0.221428571,0.095,0.508587707,0.683985172,0.354960491,0.190857958,11
0.542857143,0.307142857,0.065,0.300430816,0.645990367,0.353204663,0.226331232,11
0.535714286,0.342857143,0.065,0.340412805,0.527035372,0.522529465,0.299768332,11
0.578571429,0.285714286,0.09,0.301321116,0.627322056,0.417957425,0.229993493,11
0.521428571,0.285714286,0.08,0.452789948,0.692113744,0.48707404,0.274406327,11
0.507142857,0.214285714,0.095,0.385886136,0.528019904,0.361050143,0.17156809,11
0.685714286,0.35,0.085,0.484257681,0.549164232,0.537390995,0.226319762,11
0.707142857,0.242857143,0.065,0.297723757,0.630486833,0.405577212,0.243003181,11
0.442857143,0.307142857,0.075,0.369475089,0.539134358,0.498215553,0.271251766,11
0.614285714,0.228571429,0.055,0.335482181,0.524408578,0.319852282,0.170285848,11
0.671428571,0.321428571,0.07,0.415436273,0.692543022,0.368330564,0.277994844,11
0.542857143,0.242857143,0.095,0.442730295,0.48281856,0.542909445,0.158172693,11
0.55,0.335714286,0.06,0.460205401,0.600579338,0.343690684,0.199790433,11
0.528571429,0.242857143,0.09,0.396008858,0.600961078,0.509457488,0.244158519,11
0.578571429,0.314285714,0.075,0.264454188,0.540770284,0.312416778,0.301854648,11
0.45,0.264285714,0.08,0.41425471,0.677445364,0.356695316,0.168461209,11
0.707142857,0.235714286,0.08,0.403377554,0.668882626,0.442856871,0.170708467,11
0.642857143,0.335714286,0.1,0.492087181,0.642829577,0.515965726,0.298230633,11
0.485714286,0.25,0.07,0.496937033,0.605988506,0.489970175,0.312646771,11
0.428571429,0.371428571,0.095,0.282224926,0.551716241,0.406905758,0.196951448,11
0.507142857,0.335714286,0.065,0.467210463,0.486670798,0.355505067,0.208190224,11
0.435714286,0.385714286,0.06,0.416437506,0.524798798,0.461824933,0.304643065,11
0.628571429,0.235714286,0.05,0.466479403,0.602678565,0.458819448,0.151898025,11
0.464285714,0.392857143,0.085,0.474665571,0.679653505,0.482436782,0.315076364,11
0.557142857,0.228571429,0.085,0.473933498,0.572302668,0.439448423,0.195113264,11
0.557142857,0.378571429,0.05,0.464382875,0.624779881,0.470251915,0.153412983,11
0.657142857,0.392857143,0.09,0.282405848,0.667940642,0.344758656,0.178630754,11
0.564285714,0.385714286,0.06,0.331546116,0.577207721,0.488225186,0.317206894,11
0.65,0.357142857,0.05,0.265921832,0.680699844,0.44661705,0.211067256,11
0.542857143,0.328571429,0.065,0.497683637,0.673143304,0.426460931,0.21425627,11
0.621428571,0.307142857,0.1,0.282018457,0.549680917,0.49017291,0.263730654,11
0.507142857,0.392857143,0.085,0.494953125,0.526264783,0.419892269,0.235480249,11
0.642857143,0.371428571,0.095,0.289896617,0.682923492,0.41274779,0.223210413,11
0.478571429,0.214285714,0.085,0.415491199,0.571468131,0.448021817,0.318122502,11
0.428571429,0.35,0.07,0.284724365,0.562745987,0.45301942,0.179712431,11
0.592857143,0.378571429,0.09,0.313242909,0.529661215,0.447324761,0.162735885,11
0.592857143,0.371428571,0.07,0.485074827,0.658969025,0.524562857,0.282115216,11
0.285714286,0.478571429,0.36,0.23527554,0.031853123,0.619134406,0.245519117,3
0.164285714,0.478571429,0.395,0.292539202,0.033521032,0.531153859,0.214535513,3
0.278571429,0.378571429,0.4,0.260032633,0.013390177,0.387565873,0.173660002,3
0.157142857,0.478571429,0.4,0.288161667,0.016332124,0.448875485,0.245372748,3
0.257142857,0.442857143,0.36,0.273856548,0.061893761,0.567319886,0.212152158,3
0.228571429,0.485714286,0.38,0.33357738,0.013357792,0.386331219,0.260365615,3
0.414285714,0.464285714,0.395,0.339417711,0.027415579,0.423974064,0.195624463,3
0.421428571,0.464285714,0.395,0.24416751,0.052391845,0.629213533,0.224200961,3
0.3,0.407142857,0.35,0.268393016,0.054199972,0.545199646,0.22144409,3
0.2,0.492857143,0.38,0.263618244,0.047263882,0.816293433,0.221931653,3
0.414285714,0.435714286,0.37,0.349157081,0.059221149,0.81075679,0.263487827,3
0.307142857,0.435714286,0.37,0.305214359,0.011284489,0.695430783,0.195346176,3
0.414285714,0.414285714,0.38,0.315289178,0.00512825,0.468209764,0.211080016,3
0.164285714,0.407142857,0.4,0.291208773,0.061337453,0.775289651,0.217351741,3
0.192857143,0.407142857,0.36,0.268916631,0.00528051,0.477682985,0.179525025,3
0.2,0.478571429,0.395,0.284189622,0.057439483,0.462966416,0.184548398,3
0.357142857,0.364285714,0.355,0.349193981,0.065350442,0.693875255,0.191472222,3
0.278571429,0.471428571,0.395,0.328721491,0.024932533,0.720968761,0.223863433,3
0.178571429,0.521428571,0.355,0.248344241,0.017473561,0.579162541,0.167985384,3
0.221428571,0.464285714,0.36,0.346128404,0.000759396,0.464640201,0.252384789,3
0.185714286,0.535714286,0.39,0.236997232,0.022019754,0.625759856,0.183578287,3
0.178571429,0.45,0.36,0.323322523,0.009971046,0.6526397,0.235451957,3
0.221428571,0.521428571,0.355,0.250975389,0.008646779,0.779931492,0.2482469,3
0.428571429,0.45,0.39,0.295409788,0.048722955,0.48460102,0.234663208,3
0.421428571,0.407142857,0.39,0.279800147,0.057884046,0.715303526,0.189467774,3
0.157142857,0.442857143,0.365,0.239323751,0.001942697,0.41978172,0.187230548,3
0.257142857,0.428571429,0.375,0.271494269,0.02824391,0.395988338,0.19638374,3
0.421428571,0.392857143,0.395,0.292815825,0.05143512,0.651009286,0.26764491,3
0.385714286,0.514285714,0.4,0.238629269,0.032758717,0.672508747,0.228256015,3
0.307142857,0.45,0.38,0.248277324,0.04286439,0.506481492,0.210919984,3
0.2,0.507142857,0.385,0.336883937,0,0.489814501,0.228303813,3
0.3,0.528571429,0.4,0.240981959,0.018228919,0.408187158,0.202496048,3
0.228571429,0.392857143,0.39,0.311787634,0.060475765,0.828031228,0.257049559,3
0.157142857,0.521428571,0.355,0.258906424,0.056386759,0.795745159,0.201593934,3
0.221428571,0.528571429,0.35,0.286789167,0.02157439,0.730927279,0.249758267,3
0.2,0.378571429,0.38,0.248188815,0.026656629,0.416101764,0.262760472,3
0.407142857,0.378571429,0.36,0.284099602,0.038799288,0.695802328,0.219115321,3
0.35,0.357142857,0.365,0.282071093,0.022393852,0.677781024,0.220932925,3
0.328571429,0.507142857,0.36,0.270015765,0.063311973,0.538554973,0.228265811,3
0.385714286,0.4,0.36,0.286552614,0.011177083,0.420169158,0.205970583,3
0.271428571,0.392857143,0.355,0.281920162,0.041417704,0.834169025,0.207353899,3
0.421428571,0.357142857,0.37,0.331179037,0.030769777,0.818211422,0.222897599,3
0.257142857,0.507142857,0.35,0.27419164,0.02776371,0.813578579,0.180741898,3
0.407142857,0.45,0.38,0.239440306,0.035538975,0.711679954,0.188881595,3
0.25,0.435714286,0.38,0.302593729,0.017691013,0.40954169,0.233652595,3
0.25,0.421428571,0.365,0.261200344,0.000177781,0.620790491,0.234103788,3
0.371428571,0.392857143,0.37,0.304957819,0.046391619,0.758192282,0.19910443,3
0.192857143,0.507142857,0.39,0.295629063,0.007750178,0.43308167,0.249353683,3
0.407142857,0.392857143,0.395,0.294915556,0.035040494,0.479294351,0.198598788,3
0.371428571,0.45,0.365,0.248476647,0.03152759,0.527468299,0.236535962,3
0.307142857,0.528571429,0.37,0.303641259,0.055086957,0.669015387,0.215698318,3
0.314285714,0.492857143,0.4,0.325993651,0.062749877,0.566988664,0.208548115,3
0.171428571,0.357142857,0.365,0.243249593,0.010452397,0.489001233,0.198910958,3
0.207142857,0.514285714,0.35,0.249009523,0.014264314,0.664636762,0.189450754,3
0.142857143,0.392857143,0.365,0.268198679,0.005165656,0.443831702,0.253512106,3
0.4,0.442857143,0.365,0.251042383,0.028699438,0.738794467,0.206962043,3
0.264285714,0.435714286,0.4,0.347378506,0.054301282,0.458979912,0.207860893,3
0.35,0.471428571,0.355,0.312349077,0.03943774,0.483383553,0.234841951,3
0.421428571,0.457142857,0.375,0.29422541,0.042106252,0.724784091,0.176738377,3
0.142857143,0.528571429,0.36,0.279031915,0.020617219,0.644433011,0.20159733,3
0.171428571,0.364285714,0.4,0.268964436,0.036807641,0.472935645,0.217099057,3
0.364285714,0.478571429,0.35,0.288749011,0.008591212,0.559764082,0.215197839,3
0.407142857,0.485714286,0.4,0.277402804,0.005402355,0.59924487,0.257715044,3
0.157142857,0.421428571,0.385,0.306000695,0.033999451,0.461759863,0.241789612,3
0.371428571,0.485714286,0.37,0.241953062,0.052393826,0.674239332,0.265104759,3
0.207142857,0.5,0.35,0.309857814,0.051990111,0.553631523,0.245186218,3
0.314285714,0.385714286,0.365,0.340018702,0.065277644,0.63671317,0.231982897,3
0.292857143,0.457142857,0.385,0.321325639,0.027704135,0.499325962,0.175200285,3
0.371428571,0.364285714,0.4,0.324049605,0.002149265,0.515116265,0.245987792,3
0.242857143,0.507142857,0.375,0.339492249,0.018520938,0.69680082,0.161764074,3
0.3,0.492857143,0.39,0.29935826,0.000261063,0.628350461,0.163712381,3
0.242857143,0.471428571,0.37,0.261181599,0.018643463,0.65692435,0.19553686,3
0.192857143,0.485714286,0.37,0.296621573,0.018395896,0.59875871,0.224489524,3
0.214285714,0.464285714,0.37,0.328373246,0.066629646,0.59225031,0.177594498,3
0.407142857,0.371428571,0.35,0.237171035,0.046584253,0.665639424,0.24093213,3
0.192857143,0.528571429,0.385,0.236446518,0.038288077,0.435786179,0.182002686,3
0.228571429,0.471428571,0.4,0.338653134,0.002123667,0.450867406,0.258147413,3
0.221428571,0.507142857,0.385,0.344310844,0.041908192,0.636751507,0.211942046,3
0.235714286,0.5,0.395,0.305207596,0.052147458,0.577304942,0.174611047,3
0.335714286,0.535714286,0.36,0.239794908,0.025324095,0.630815274,0.189111275,3
0.385714286,0.407142857,0.375,0.248593613,0.02487656,0.619686322,0.212849149,3
0.335714286,0.528571429,0.365,0.248445457,0.005857244,0.482858633,0.161316955,3
0.25,0.371428571,0.39,0.305812016,0.037181101,0.617704446,0.216589225,3
0.378571429,0.485714286,0.36,0.312424085,0.044778882,0.594167634,0.191965937,3
0.321428571,0.4,0.365,0.305907429,0.021048532,0.464149283,0.220288891,3
0.264285714,0.521428571,0.37,0.319283545,0.006629325,0.665845828,0.245985437,3
0.214285714,0.5,0.38,0.303939106,0.029707987,0.451560304,0.173465245,3
0.264285714,0.357142857,0.385,0.305030105,0.043912165,0.764986393,0.209226078,3
0.378571429,0.428571429,0.355,0.326133776,0.025219857,0.811031744,0.205234137,3
0.157142857,0.392857143,0.4,0.287336249,0.005630625,0.669831879,0.26790349,3
0.428571429,0.4,0.365,0.341078337,0.065074004,0.437364367,0.265225925,3
0.3,0.442857143,0.36,0.291782575,0.019577447,0.561347279,0.210116925,3
0.278571429,0.507142857,0.355,0.319734805,0.015342338,0.720202906,0.17584525,3
0.25,0.414285714,0.355,0.257963202,0.039073456,0.654615737,0.253673434,3
0.214285714,0.428571429,0.385,0.34113719,0.011901017,0.559697721,0.203225626,3
0.407142857,0.364285714,0.365,0.244357875,0.052473419,0.833039726,0.171523166,3
0.342857143,0.428571429,0.365,0.247107526,0.000938295,0.67747225,0.189982473,3
0.257142857,0.364285714,0.39,0.289015206,0.064203726,0.613951915,0.175620834,3
0.285714286,0.378571429,0.35,0.280237701,0.006084144,0.569696881,0.249322234,3
0.35,0.457142857,0.385,0.272309603,0.012871515,0.584474097,0.22121822,3
0.092857143,0.392857143,0.1,0.238487699,0.073927829,0.339207551,0.388166125,9
0.178571429,0.464285714,0.055,0.310161404,0.054232484,0.35060125,0.309498497,9
0.221428571,0.357142857,0.085,0.404243936,0.082608194,0.368319585,0.319793987,9
0.285714286,0.421428571,0.055,0.218300383,0.116448579,0.376640313,0.431690356,9
0.014285714,0.4,0.075,0.382041354,0.102240774,0.381140806,0.202731267,9
0.185714286,0.428571429,0.085,0.258893484,0.052706224,0.380259422,0.441486105,9
0.121428571,0.371428571,0.08,0.317311995,0.070664145,0.355263102,0.14624986,9
0.185714286,0.535714286,0.065,0.301276223,0.105868325,0.32288646,0.303817053,9
0.121428571,0.385714286,0.06,0.275210197,0.106974442,0.339811947,0.405134916,9
0.192857143,0.385714286,0.085,0.372627531,0.104380217,0.356031991,0.394647012,9
0.2,0.378571429,0.095,0.312809394,0.046937824,0.348883372,0.443874016,9
0.178571429,0.371428571,0.07,0.238987036,0.065473817,0.320631738,0.24352689,9
0.2,0.535714286,0.06,0.309797986,0.051487065,0.358405285,0.44528827,9
0.178571429,0.392857143,0.085,0.367457202,0.080737838,0.370510937,0.410110289,9
0.085714286,0.521428571,0.09,0.20773574,0.052106361,0.387751321,0.243777261,9
0.042857143,0.514285714,0.1,0.338192503,0.117879717,0.35581215,0.177572392,9
0.157142857,0.528571429,0.06,0.361517989,0.071608523,0.374402935,0.346002596,9
0.192857143,0.535714286,0.05,0.29398394,0.081107929,0.355134441,0.237140941,9
0.071428571,0.357142857,0.09,0.354746671,0.062717051,0.345779743,0.420276914,9
0.164285714,0.428571429,0.075,0.407957219,0.095283532,0.362218536,0.31671467,9
0.135714286,0.521428571,0.055,0.339401585,0.103207544,0.382993983,0.170672241,9
0.135714286,0.428571429,0.1,0.265993794,0.047071442,0.329740675,0.447564144,9
0.157142857,0.464285714,0.07,0.270075505,0.079539055,0.312714912,0.176894025,9
0.264285714,0.421428571,0.085,0.248386449,0.053277568,0.380992862,0.365472569,9
0.078571429,0.471428571,0.06,0.318323148,0.084167976,0.348612361,0.224445965,9
0.128571429,0.528571429,0.075,0.328537498,0.104723738,0.368968948,0.429464274,9
0.15,0.414285714,0.06,0.199370549,0.058003428,0.384928676,0.316627404,9
0.171428571,0.535714286,0.085,0.226286163,0.05737581,0.331435379,0.275056249,9
0.242857143,0.392857143,0.085,0.253539538,0.045436461,0.331316849,0.289061401,9
0.114285714,0.5,0.08,0.277799253,0.109172212,0.338158257,0.240130546,9
0.121428571,0.514285714,0.09,0.450147917,0.07649257,0.336733547,0.158016503,9
0.264285714,0.478571429,0.065,0.288393906,0.119947304,0.345159089,0.306093537,9
0.285714286,0.485714286,0.075,0.36636505,0.07069997,0.358699927,0.147036544,9
0.064285714,0.514285714,0.06,0.32419274,0.118916583,0.354362858,0.308774164,9
0.007142857,0.407142857,0.09,0.18966486,0.048023274,0.327052168,0.426870583,9
0.235714286,0.385714286,0.085,0.396463875,0.085576215,0.379800729,0.36708373,9
